,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes
54,rxn00720_d0_f,0.13148019,0.12456424,0.13866171,0.13415673,0.12828274,0.0
55,rxn00737_d0,0.0,0.0,0.0,0.0,0.0,0.22492078994349352
56,rxn00747_d0_f,0.08935216,0.18138906,0.12634633,0.1311849,0.15971586,100.86342484447955
57,rxn00770_d0,3.6485732,5.182563,4.1103096,4.2436595,4.803997,3.9014272443571874
58,rxn00777_d0_f,4.5760493,3.709918,4.472532,4.3796163,3.9813735,42.894833542356146
59,rxn00781_d0_f,0.0,0.9531432,0.0,0.0,0.5150734,0.0
60,rxn00782_d0_f,4.3202744,2.7208595,3.7681353,3.7191958,3.097965,0.0
61,rxn00800_d0_f,4.0318375,4.5595627,4.1588187,4.0509024,4.3099346,3.245634097774954
62,rxn00802_d0_f,4.221065,4.373385,4.309576,4.2514234,4.3353972,0.29808779390101564
63,rxn00830_d0_f,7.85e-05,7.85e-05,7.76e-05,7.76e-05,7.84e-05,0.0
64,rxn00832_d0_f,0.95945024,0.96662295,0.9229685,0.90788925,0.9485687,0.0
65,rxn00838_d0,0.0,0.0,0.0,0.0,0.0,3.245634097774954
66,rxn00839_d0_f,1.614478,1.6439017,1.6177752,1.6124151,1.6299402,0.0
67,rxn00863_d0_f,3.6561842,3.9439077,3.7211194,3.7186387,3.8550816,0.10297578334762357
68,rxn00899_d0,0.0,0.0,0.0,0.0,0.0,0.0
69,rxn00907_d0_f,21.595713,22.545313,22.017727,22.152802,22.416586,6.979048221933387
70,rxn00929_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
71,rxn00931_d0_f,3.4823518,2.3839529,3.1906064,3.0886257,2.6764822,0.0
72,rxn00947_d0,0.0,0.0,0.0,0.0,0.0,0.0
73,rxn00974_d0_f,16.501677,16.253508,16.486462,16.348661,16.286844,1.3359752944836336
74,rxn00980_d0_f,1.2274042,1.3902129,1.2879038,1.3040292,1.3647383,0.0
75,rxn01000_d0,0.0,0.0,0.0,0.0,0.0,1.6909707581293973
76,rxn01011_d0_f,0.14597146,0.117823124,0.1526698,0.14507952,0.11470288,0.0
77,rxn01018_d0_f,30.3,32.000706,30.780243,31.182756,31.569134,0.2953779048655518
78,rxn01019_d0_f,3.5004838,3.682278,3.619676,3.580386,3.696821,0.2980877939010156
79,rxn01069_d0_f,1.2634085,1.6303229,1.4055166,1.4262275,1.5649487,0.48507013734801624
80,rxn01100_d0_f,7.8153415,8.339483,8.231545,8.171548,8.276984,249.99458022192925
81,rxn01101_d0_f,19.506311,18.05544,19.51344,19.492327,18.848734,7.659230369834794
82,rxn01102_d0,0.0,0.0,0.0,0.0,0.0,0.0
83,rxn01106_d0_f,0.91800696,1.4739413,1.16842,1.1940727,1.4183404,0.0
84,rxn01111_d0,19.195576,18.678036,19.386375,19.355839,19.062494,138.3761477735011
85,rxn01115_d0,0.0,0.0,0.0,0.0,0.0,0.0
86,rxn01116_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
87,rxn01200_d0_f,7.3167696,7.764571,7.5676856,7.599039,7.7285724,46.79626078671333
88,rxn01207_d0,0.0,0.0,0.0,0.0,0.0,0.0
89,rxn01211_d0_f,12.379417,12.86231,12.676823,12.784179,12.861318,6.979048221933388
90,rxn01249_d0_f,0.13235977,0.12594809,0.13941248,0.13479766,0.12941201,0.0
91,rxn01255_d0,0.0,0.0,0.0,0.0,0.0,1.8887926577182534
92,rxn01256_d0,1.3894229,0.72445786,1.1458399,1.0704653,0.8671661,1.8237553208671229
93,rxn01257_d0_f,6.014556,6.432964,6.0474634,6.103333,6.2591753,0.0
94,rxn01258_d0_f,1.6219476,1.7107203,1.6631262,1.697903,1.734855,0.0
95,rxn01301_d0_f,0.0,0.014154219,0.0,0.0,0.0,0.0
96,rxn01302_d0_f,2.705134,1.6816697,2.3971493,2.310931,1.902948,0.0
97,rxn01332_d0,0.0,0.09587939,0.003426239,0.007586806,0.06814756,1.8887926577182539
98,rxn01334_d0_f,0.0,0.0,0.0,0.0,0.0,0.0
