,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx,v_Control,v_FeLim,v_FeEX,v_ZnLim,v_ZnEx
225,rxn19027_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.5123014673457,1063.5123014673457,1063.5123014673457,1020.8598293406674,1060.714646064111
226,rxn19029_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.6652258499712,1063.6652258499712,1063.6652258499712,1021.0066206461688,1060.8671681667397
227,rxn19030_d0,0.0,0.0,0.0,0.0,0.0,0.15287151816707342,0.044441902901184285,0.1612431606044492,0.17849991743230953,0.09855100424611042,0.2500089809211455,0.3052773634247202,0.2641296777219445,0.2580422225395419,0.1950435670557407
228,rxn19071_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,rxn19240_d0_f,0.21173096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.145463336862,970.2146606926824,1018.6514282292056,999.8408330900154,1089.9390658644288
230,rxn19241_d0_f,0.505249,0.788147,0.38323975,1.0784912,0.0,0.0,0.0,0.0,0.0,0.0,1013.0854455920686,970.1571861265836,1018.5910843164456,999.781603498485,1089.874498941847
231,rxn19242_d0_f,0.054992676,0.8076782,0.33880615,1.0438232,0.0,0.0,0.0,0.0,0.0,0.0,1013.1157917209956,970.1862463753292,1018.6215953621852,999.8115511219264,1089.9071452227731
232,rxn19246_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,rxn19253_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2320759370295105,2.8815132643291337,3.034489870654207,2.960634347475751,2.8658146843165864
234,rxn19343_d0_f,0.89538574,0.19213867,0.0,0.1326294,0.106933594,0.09024945048417594,0.026236786050096775,0.09519174541708454,0.10537946932750812,0.05818071335011345,1018.9150837533456,969.0166178841372,1180.554452142176,887.2951319458971,889.2165799522978
235,rxn19345_d0,0.0,0.0,0.0,0.0,0.0,0.14366239056664729,0.041764679834847884,0.15152971719454272,0.16774691035807401,0.09261419676140499,0.2562024831211903,0.2327963338610207,0.2562024831211903,0.2562024831211903,0.2237495627689004
236,rxn19544_d0,0.0,0.0,0.0,0.0,0.0,0.550705830505481,0.16009793936691685,0.5808639159124135,0.6430298230392836,0.3550210875853857,0.8005360576521923,1.227712721549201,0.6011680802375523,1.1205008594292132,0.4893487520654246
237,rxn19545_d0,0.0,0.0,0.0,0.0,0.0,0.15287151816707342,0.04444190290118429,0.1612431606044492,0.17849991743230953,0.09855100424611042,0.2222221651490264,0.340802861477354,0.1668792693744151,0.3110417384120971,0.1358391519750865
238,rxn19686_d0_f,0.0,0.0,0.0,0.0,0.0,0.6538480596302528,0.1900828377098844,0.6896544821033667,0.7634635022707208,0.4215133314140865,1225.3697483475555,975.9091631241708,1170.880497151236,1259.348635650436,810.0632369388544
239,rxn19828_d0_f,0.0,0.0,0.36730957,0.0925293,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
240,rxn19900_d0_f,1.8724365,0.0,0.0,1.1744385,0.0,0.0,0.0,0.0,0.0,0.0,1117.648286576261,1149.837599588035,1093.667004774229,1059.777128075336,1021.2828950136976
241,rxn19905_d0,0.7165513,0.98238415,0.27617383,0.87454784,0.7018433,0.4199362185794306,0.12208137182494,0.4429330194917401,0.4903371225851394,0.27071842130256846,0.793346128650788,1.0876690444152446,0.8132325258438629,0.9682755971676864,0.777061842843127
242,rxn20583_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.657862569284,998.657862569284,998.657862569284,998.657862569284,998.657862569284
243,rxn20595_d0,106.75644,7.6446023,11.598941,9.304798,8.805879,169.91706080780605,49.397282163588976,179.22216154958178,198.40308834629502,109.53967869185118,244.6423321669449,244.6423321669449,244.6423321669449,244.6423321669449,244.6423321669449
244,rxn20632_d0,56.993164,1.743314,0.0,0.0,2.9514856,84.95853040390304,24.698641081794488,89.61108077479089,99.20154417314752,54.76983934592559,122.32116608681132,122.32116608681132,122.32116608681132,122.32116608681132,122.32116608681132
245,rxn20643_d0_f,1.7683105,0.29260254,0.0,0.0,0.84729004,0.0,0.0,0.0,0.0,0.0,219.9264416698709,123.30460841649136,282.72980888854795,256.2566950183352,192.619555518346
246,rxn23155_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
247,rxn23415_d0_f,1.3108618,1.45923,1.2640848,1.312538,1.1720853,0.0,0.0,0.0,0.0,0.0,,,,,
248,rxn23805_d0,0.20759375,0.17719866,0.23804459,0.12702754,0.18565008,0.0,0.0,0.0,0.0,0.0,,,,,
249,rxn24109_d0,0.0,0.0,0.0,0.0,0.0,0.09024945048417586,0.026236786050096755,0.09519174541708447,0.10537946932750805,0.05818071335011339,0.2114326627758984,0.2138909139486006,0.1978951310291401,0.1956810944439615,0.1578304505139907
250,rxn24310_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,rxn24312_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,rxn24330_d0_f,9.510742,7.0048523,6.3049927,3.7227783,7.4057007,0.0,0.0,0.0,0.0,0.0,1386.9187470512318,803.6838240487177,1386.9187470512318,1386.9187470512318,1019.5045473188632
253,rxn24358_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,rxn24360_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,rxn24362_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0
256,rxn24508_d0_f,30.74524,34.23285,34.89044,35.776245,33.01587,0.02762738280127832,0.008031669199009208,0.029140330229719753,0.032259021222706546,0.017810422454116345,891.2068926961575,923.9674543177844,922.7286343138476,928.4154413534912,1124.9714613559993
257,rxn25637_d0_f,0.0,0.0,0.0,0.0,0.0,0.6538480596302534,0.19008283770988457,0.689654482103367,0.7634635022707214,0.42151333141408676,1193.676441701642,910.308273863742,1112.266066821864,1012.0910002062004,1201.6986360463245
258,rxn25641_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.596939698043,910.2476449285156,1112.1919869642418,1012.0235922725844,1201.6185997433945
259,rxn25647_d0_f,8.445068,8.290344,8.147827,8.141113,7.9802246,0.6538480596302536,0.19008283770988457,0.6896544821033673,0.7634635022707212,0.42151333141408676,1309.0018529294164,1110.851924504349,1216.6419799077207,1043.3956372604896,955.0269854998128
260,rxn25649_d0_f,4.7246704,3.8183594,3.8049316,3.5679932,4.097351,0.0,0.0,0.0,0.0,0.0,1193.596939698043,910.2476449285156,1112.1919869642418,1012.0235922725844,1201.6185997433945
261,rxn25661_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.676441701642,910.308273863742,1112.266066821864,1012.0910002062004,1201.6986360463245
262,rxn25662_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,rxn25716_d0_f,6.9769287,8.666382,8.186218,8.763428,9.136902,0.047887463522215776,0.0139215599449493,0.05050990573151425,0.05591563678602469,0.03087139892046834,1062.521350242024,1022.429030542163,1043.8338766403128,1008.7803804748014,990.9004636562872
264,rxn25718_d0_f,3.5333862,4.915039,4.1602783,4.9420776,4.908325,0.0,0.0,0.0,0.0,0.0,1193.6712632323258,910.3043247169716,1112.2612415312765,1012.086609500305,1201.6934227747067
