,rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx,fluxes_Control,fluxes_FeLim,fluxes_FeEX,fluxes_ZnLim,fluxes_ZnEx
70,rxn00929_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,rxn00931_d0_f,3.4823518,2.3839529,3.1906064,3.0886257,2.6764822,0.0,0.0,0.0,0.0,0.0
72,rxn00947_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,rxn00974_d0_f,16.501677,16.253508,16.486462,16.348661,16.286844,1.307344446949039,0.018632195647224466,0.3266590541432582,0.22565273140728684,0.031544894823808504
74,rxn00980_d0_f,1.2274042,1.3902129,1.2879038,1.3040292,1.3647383,0.0,0.0,0.0,0.0,0.0
75,rxn01000_d0,0.0,0.0,0.0,0.0,0.0,1.6547321194649165,0.023583144186344978,0.4134589245139813,0.2856131935053715,0.03992700683581434
76,rxn01011_d0_f,0.14597146,0.117823124,0.1526698,0.14507952,0.11470288,0.0,0.0,0.0,0.0,0.0
77,rxn01018_d0_f,30.3,32.000706,30.780243,31.182756,31.569134,0.2890477580475575,0.004119491532550644,0.07222279290388457,0.04989076617321394,0.006974429078691928
78,rxn01019_d0_f,3.5004838,3.682278,3.619676,3.580386,3.696821,0.2916995723415719,0.004157285032849275,0.07288538733419543,0.050348479624344356,0.007038414666569836
79,rxn01069_d0_f,1.2634085,1.6303229,1.4055166,1.4262275,1.5649487,0.4746747586285577,0.00676503655345473,0.11860440302564527,0.08193070775234217,0.011453420230145457
80,rxn01100_d0_f,7.8153415,8.339483,8.231545,8.171548,8.276984,244.63702852141202,3.486552444999404,61.126125201139374,42.22530169309772,5.9028432428242485
81,rxn01101_d0_f,19.506311,18.05544,19.51344,19.492327,18.848734,7.4950879206019625,0.10681954924404688,1.8727568978306304,1.293681298274966,0.18084886557811747
82,rxn01102_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,rxn01106_d0_f,0.91800696,1.4739413,1.16842,1.1940727,1.4183404,0.0,0.0,0.0,0.0,0.0
84,rxn01111_d0,19.195576,18.678036,19.386375,19.355839,19.062494,135.41065402096928,1.9298646231490522,33.83432443273596,23.372405040452225,3.2673216680447474
85,rxn01115_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,rxn01116_d0_f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,rxn01200_d0_f,7.3167696,7.764571,7.5676856,7.599039,7.7285724,45.793385499044554,0.6526446186069481,11.442144438709278,7.904116273535589,1.104947921387223
88,rxn01207_d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,rxn01211_d0_f,12.379417,12.86231,12.676823,12.784179,12.861318,6.829482532804376,0.0973333806690908,1.7064456958226029,1.1787952220412348,0.16478848302076268
90,rxn01249_d0_f,0.13235977,0.12594809,0.13941248,0.13479766,0.12941201,0.0,0.0,0.0,0.0,0.0
91,rxn01255_d0,0.0,0.0,0.0,0.0,0.0,1.8483145629279596,0.026342069708144955,0.46182831792667484,0.319026275437891,0.0445979547509016
92,rxn01256_d0,1.3894229,0.72445786,1.1458399,1.0704653,0.8671661,1.784671019871617,0.02543502570097784,0.4459260515992138,0.30804115261076126,0.043062300641831815
93,rxn01257_d0_f,6.014556,6.432964,6.0474634,6.103333,6.2591753,0.0,0.0,0.0,0.0,0.0
