,rxn_ID,treatment,Pred,FBA,kapp,Vbf,RES,subsystems,rxn_dist_quantile
1043,rxn08730_d0_o,FeLim,0.8013039890000001,0.0013949910006535208,,,,,
1044,rxn08756_d0,FeLim,0.0,0.0,0.0,0.0,119.5954926139452,"{'Isoprenoid_biosynthesis_in_plants,_nonmevalonate_branch'}",85.0
1045,rxn08766_d0_f,FeLim,0.0,0.00010072854227320605,0.0585653220998644,1.8926669036979096,,,
1046,rxn08766_d0_r,FeLim,0.01022505700000001,0.0,0.0497744694688223,1.6085712096336304,,,
1047,rxn09118_d0_i,FeLim,0.0,0.0,,,,,
1048,rxn09118_d0_o,FeLim,0.0010245189999999998,0.00015605830493031983,,,,,
1049,rxn09121_c0_i,FeLim,0.0,0.0001631802384826092,,,,,
1050,rxn09121_c0_o,FeLim,0.438291817,0.0,,,,,
1051,rxn09121_d0_i,FeLim,0.0,1.9606597946714947e-05,,,,,
1052,rxn09121_d0_o,FeLim,0.443795751,0.0,,,,,
1053,rxn09444_d0,FeLim,0.0,0.0,0.0,0.0,123.68864040606424,"{'Polyunsaturated_fatty_acids_biosynthesis_in_plants', 'Fatty_acid_biosynthesis_in_plants_(plastidial)'}",95.0
1054,rxn09449_d0,FeLim,0.0,0.0,0.0,0.0,123.68864040606424,"{'Polyunsaturated_fatty_acids_biosynthesis_in_plants', 'Fatty_acid_biosynthesis_in_plants_(plastidial)'}",95.0
1055,rxn09453_d0,FeLim,0.0,0.0,0.0,0.0,123.68864040606424,"{'Polyunsaturated_fatty_acids_biosynthesis_in_plants', 'Fatty_acid_biosynthesis_in_plants_(plastidial)'}",95.0
1056,rxn09736_c0_o,FeLim,0.0,0.0,,,,,
1057,rxn09736_c0_i,FeLim,0.32569734000000006,0.0008841412330234278,,,,,
1058,rxn09736_d0_o,FeLim,0.0,0.0,,,,,
1059,rxn09736_d0_i,FeLim,0.32402098,0.0010401995379537474,,,,,
1060,rxn09817_d0_i,FeLim,0.003689393000000001,0.0,,,,,
1061,rxn09817_d0_o,FeLim,0.0,3.092791861346335e-05,,,,,
1062,rxn09839_d0_i,FeLim,0.0,0.0,,,,,
1063,rxn09839_d0_o,FeLim,0.0,1.3052149139630697e-05,,,,,
1064,rxn10929_d0_o,FeLim,0.0,0.00016769174220694763,,,,,
1065,rxn10929_d0_i,FeLim,0.0018646719999999978,0.0,,,,,
1066,rxn10967_d0_o,FeLim,0.0,0.0,,,,,
1067,rxn10967_d0_i,FeLim,0.03287759499999998,8.597393889798515e-05,,,,,
1068,rxn11013_d0_i,FeLim,0.0,0.0,,,,,
1069,rxn11013_d0_o,FeLim,0.039782700000000004,7.292178975835447e-05,,,,,
1070,rxn11040_d0_f,FeLim,0.0,0.0,0.0,0.0,,,
1071,rxn11040_d0_r,FeLim,0.0,0.0008241864696929255,0.0,0.0,,,
1072,rxn11700_d0_r,FeLim,0.0,0.0,0.0085868342804367,1.209041705233625,,,
1073,rxn11700_d0_f,FeLim,0.007394551999999999,3.121166098606396e-06,0.0086326480074903,1.215492360372754,,,
1074,rxn11702_d0,FeLim,0.0,0.0,,,,,
1075,rxn11703_d0,FeLim,0.001626963,0.0,,,,,
1076,rxn12282_d0,FeLim,0.0,0.0,0.0,0.0,123.68864040606424,"{'Polyunsaturated_fatty_acids_biosynthesis_in_plants', 'Fatty_acid_biosynthesis_in_plants_(plastidial)'}",95.0
1077,rxn13360_d0_o,FeLim,0.0,0.0,,,,,
1078,rxn13360_d0_i,FeLim,0.015457624,0.00015605830493032263,,,,,
1079,rxn13361_d0_i,FeLim,0.0052015660000000186,0.0,,,,,
1080,rxn13361_d0_o,FeLim,0.0,0.00016258437950013717,,,,,
1081,rxn13365_d0_i,FeLim,0.0,0.0,,,,,
1082,rxn13365_d0_o,FeLim,0.010999117000000003,0.00014357364053589424,,,,,
1083,rxn13995_d0_r,FeLim,0.0,0.0,,,,,
