	Control	FeLim	FeEx	ZnLim	ZnEx
rxn00839_d0_r	0.16467372	0.16120394	0.15803854	0.1607562	0.13586034
rxn00863_d0_r	2.285934	2.013364	2.0401905	2.0734453	2.0731707
rxn00907_d0_r	2.0964646	1.630764	1.6686121	1.6115322	1.7353692
rxn00929_d0_r	1.0056934	1.2537692	1.0881251	1.1059464	1.2269318
rxn00931_d0_r	4.772135	4.2122297	4.467636	4.447637	4.2910085
rxn00974_d0_r	37.071293	37.113487	37.02892	37.06576	37.128323
rxn00980_d0_r	14.204346	15.101687	14.878155	14.8824215	14.927243
rxn01011_d0_r	0.14729448	0.095718846	0.11575356	0.11000528	0.08896294
rxn01018_d0_r	1.1829687	0.92481035	1.0135938	1.0061347	0.97678035
rxn01019_d0_r	0.6114381	0.80403477	0.6543126	0.6827109	0.7957534
rxn01069_d0_r	5.824001	5.6271844	5.6088347	5.602151	5.722673
rxn01100_d0_r	-3.1021774	-3.1259997	-3.0129132	-3.0487132	-3.2291749
rxn01101_d0_r	-0.18143831	-0.17285925	-0.17592254	-0.1725615	-0.19049044
rxn01106_d0_r	-0.29198042	-0.34183192	-0.3103627	-0.32324386	-0.34375015
rxn01116_d0_r	22.231628	22.510204	21.888193	21.90938	22.151518
rxn01200_d0_r	-0.7454632	-0.75931174	-0.72747445	-0.7320729	-0.71201295
rxn01208_d0	-7.159653	-7.0608616	-7.0138693	-7.0381093	-7.1328373
rxn01211_d0_r	0.7233866	0.5432981	0.5989431	0.56970525	0.62789816
rxn01249_d0_r	0.9354873	0.86566824	0.8947204	0.8930763	0.86910504
rxn01257_d0_r	1.620397	1.4466537	1.4078207	1.3912643	1.4474703
rxn01258_d0_r	0.036816802	0.06689339	0.06688761	0.06653529	0.061199494
rxn01301_d0_r	2.3875215	2.5749311	2.3496063	2.372236	2.5712967
rxn01302_d0_r	8.665785	8.129188	8.431	8.392429	8.153356
rxn01334_d0_r	12.772394	13.047948	12.670209	12.85261	13.665652
rxn01345_d0_r	-0.64336294	-0.7160361	-0.66960347	-0.68303573	-0.71274483
rxn01353_d0_r	0.16467372	0.16120394	0.15803854	0.1607562	0.13586034
rxn01465_d0_r	11.9338	12.170372	11.951924	11.857478	11.972844
rxn01476_d0_r	12.25582	11.652657	11.84646	11.863906	11.889634
rxn01512_d0_r	0.16467372	0.16120394	0.15803854	0.1607562	0.13586034
rxn01539_d0_r	1.0320201	1.1746303	1.0295233	1.0661845	1.1515378
rxn01636_d0_r	0.6637402	1.1048592	0.7813106	0.8401206	1.0545076
rxn01637_d0_r	2.4079041	1.4295186	2.1194804	1.9805663	1.5547595
rxn01643_d0_r	24.998531	23.855137	24.294119	24.153	24.129112
rxn01652_d0_r	0.7472415	0.6363811	0.6958789	0.69216526	0.6780846
rxn01673_d0_r	0.16467372	0.16120394	0.15803854	0.1607562	0.13586034
rxn01678_d0_r	0.16467372	0.16120394	0.15803854	0.1607562	0.13586034
rxn01740_d0_r	3.5320911	3.7425625	3.545865	3.373559	3.3733432
rxn01917_d0_r	1.1904624	1.7778993	1.2885417	1.3731232	1.6950442
rxn01974_d0_r	0.6099455	0.63861734	0.62876445	0.64420944	0.65478116
rxn01975_d0_r	8.511896	8.001419	8.205454	8.216797	8.179812
rxn02159_d0_r	1.737783	1.4777787	1.4538771	1.5194163	1.5694039
rxn02320_d0_r	-0.08681928	-0.107355334	-0.09655817	-0.097768016	-0.107424006
rxn02373_d0_r	2.6282277	2.4681804	2.3377652	2.3648396	2.5621789
