rxn_ID,Control,FeLim,FeEx,ZnLim,ZnEx
rxn00777_d0_f,2.7095017,2.0740392,2.4716022,2.4612226,2.235024
rxn00781_d0_f,-0.5538134,-0.44593522,-0.5553829,-0.5418019,-0.48006484
rxn00782_d0_f,1.6951059,1.1487113,1.5766335,1.5759189,1.3504639
rxn00800_d0_f,6.8110266,7.31615,6.732481,6.7070465,7.0909615
rxn00802_d0_f,3.040255,3.1478631,3.2540078,3.1591349,3.1776447
rxn00830_d0_f,8.462738,8.64583,8.486488,8.481465,8.564463
rxn00832_d0_f,0.4132452,0.28300133,0.39625958,0.39045367,0.36089543
rxn00838_d0,2.5571942,2.6983106,2.4024343,2.4309518,2.5640085
rxn00839_d0_f,0.64328784,0.6577577,0.6416267,0.6386231,0.65144455
rxn00863_d0_f,0.1927534,0.22250941,0.20618254,0.19828808,0.20297945
rxn00899_d0,-2.920651,-2.933563,-2.939369,-2.9394,-2.931445
rxn00907_d0_f,25.507727,26.675707,25.882406,26.058409,26.472017
rxn00929_d0_f,1.7826792,2.1145582,1.7630203,1.7862436,1.9615496
rxn00931_d0_f,2.905469,2.5577579,2.8804379,2.859732,2.7159967
rxn00947_d0,-0.10093105,0.04002475,-0.029001169,-0.018285142,0.017434482
rxn00974_d0_f,13.3632345,13.36048,13.372429,13.292505,13.34899
rxn00980_d0_f,1.45587,1.2039603,1.3481505,1.3591094,1.2927425
rxn01000_d0,-3.7561448,-3.797386,-3.7884355,-3.7923732,-3.804513
rxn01011_d0_f,1.4750633,1.5664619,1.4985026,1.5104953,1.5567833
rxn01018_d0_f,29.276169,29.548954,29.218924,29.38972,29.487534
rxn01019_d0_f,3.4860752,3.5088851,3.7183363,3.664372,3.5882277
rxn01069_d0_f,1.609595,1.7904959,1.6694402,1.6848348,1.7380576
rxn01100_d0_f,14.7744665,15.610966,15.149486,15.074001,15.426857
rxn01101_d0_f,18.197098,16.971426,17.876022,17.921713,17.323719
rxn01102_d0,-2.6035602,-2.641306,-2.6522374,-2.6552548,-2.6539094
rxn01106_d0_f,5.086664,4.8614044,5.127105,5.0337486,4.9202876
rxn01111_d0,1.7151741,0.8610525,1.4045142,1.4065315,1.1038077
rxn01115_d0,-5.570104,-5.587114,-5.5292406,-5.5418124,-5.5602307
rxn01116_d0_f,-0.0992352,-0.08491609,-0.09239919,-0.09257142,-0.09236997
rxn01200_d0_f,2.7017741,2.497972,2.625258,2.630596,2.5455759
rxn01207_d0,-3.756585,-3.6783004,-3.72694,-3.7207124,-3.6899977
rxn01211_d0_f,16.103416,17.431591,16.652365,16.834463,17.227554
rxn01249_d0_f,3.9057837,4.188902,4.036422,4.104998,4.188166
rxn01255_d0,-3.203423,-2.9571943,-3.166243,-3.1347537,-3.0433786
rxn01256_d0,-3.021475,-3.3420691,-3.152347,-3.1939921,-3.2913144
rxn01257_d0_f,6.675349,7.025859,6.7726927,6.822125,6.9164963
rxn01258_d0_f,0.22863996,0.2828525,0.24980867,0.25892037,0.26455504
rxn01301_d0_f,0.8800862,1.4275054,0.87746555,0.90926874,1.1916139
rxn01302_d0_f,2.3185947,1.9268857,2.3341985,2.295882,2.1130373
rxn01332_d0,0.83535457,1.3294846,0.94676113,0.9638466,1.1702049
