rxn_ID	Control	FeLim	FeEX	ZnLim	ZnEx
rxn00974_d0_r	0.026110768	0.0261873	0.03130281	0.031274915	0.021754265
rxn01257_d0_r	0.026214242	0.027595758	0.026546478	0.026382685	0.027117848
rxn00692_d0_r	0.026236653	0.028577447	0.026117802	0.026243925	0.027312994
rxn18936_d0_r	0.026461959	0.027471185	0.026428103	0.026254177	0.026684046
rxn05345_d0_r	0.026763916	0.006626487	0.009512484	0.010397017	0.026750803
rxn05340_d0_r	0.027545094	0.02810359	0.02949369	0.029524922	0.027965188
rxn25718_d0_r	0.027609944	0.02792883	0.025513172	0.027228475	0.026618958
rxn19686_d0_f	0.027632117	0.028041124	0.029200315	0.030214429	0.028393745
rxn18937_d0_f	0.02764213	0.0277884	0.026606798	0.026387572	0.027091503
rxn07441_d0_f	0.027701795	0.02653408	0.027559102	0.027722836	0.02752924
rxn08392_d0_r	0.02838087	0.027906418	0.028251529	0.020213425	0.027891755
rxn05465_d0_f	0.028616428	0.029073	0.028687	0.029053688	0.028580666
rxn01465_d0_r	0.028688848	0.025098085	0.03316462	0.029901505	0.027620077
rxn14094_d0_r	0.02882564	0.028588891	0.028879762	0.028846622	0.02882564
rxn24360_d0_r	0.02882564	0.02865088	0.028879762	0.028846622	0.02885878
rxn15435_d0_r	0.02896893	0.034096718	0.034884095	0.03459364	0.034071326
rxn00361_d0_f	0.02959454	0.029121876	0.03045696	0.026039928	0.004273951
rxn00077_d0_f	0.029981017	0.02868402	0.029676318	0.02944839	0.02832973
rxn00124_d0_r	0.031065822	0.030654311	0.031090975	0.030906796	0.030626535
rxn05348_d0_f	0.03136742	0	0.00494802	0.005432487	0.03168893
rxn03908_d0_r	0.031669855	0.029978514	0.031658173	0.02990508	0.029725432
rxn13365_d0_o	0.031977873	0.031794198	0.03190768	0.03200945	0.031871527
rxn02484_d0_r	0.03233856	0.021444798	0.03221965	0.031810284	0.03093946
rxn00337_d0_r	0.03267014	0.03299105	0.03248942	0.03323579	0.032921195
rxn14142_d0_f	0.032690167	0.032803178	0.03270638	0.032723546	0.032841086
rxn14261_d0_f	0.032690167	0.032803178	0.03270638	0.032723546	0.032841086
rxn24358_d0_f	0.032690167	0.032803178	0.03270638	0.032723546	0.032841086
rxn24362_d0_f	0.032690167	0.032803178	0.03270638	0.032723546	0.032841086
rxn05330_d0_f	0.03275287	0.033232212	0.032218456	0.03322947	0.03289914
rxn05342_d0_f	0.03284371	0.032785654	0.032746553	0.032619	0.03286922
bio1_biomass	0.032877304	0.033116993	0.03293269	0.032770894	0.03303806
rxn00337_d0_f	0.032927394	0.03343606	0.03187275	0.033198833	0.033513784
rxn05348_d0_r	0.0331707	0.001110196	0.004717648	0.004770935	0.032797337
rxn25637_d0_f	0.033538222	0.034181595	0.033504605	0.033903718	0.033795714
rxn25747_d0_f	0.033621788	0.03351903	0.033614993	0.005625904	0.033711314
rxn05346_d0_f	0.03384769	0	0	0	0.034119844
rxn05337_d0_r	0.034111142	0.03442049	0.033820987	0.034620643	0.034184337
rxn05340_d0_f	0.034267068	0.033880472	0.034246206	0.03404355	0.03400719
rxn25743_d0_f	0.034371734	0.034847736	0.03418684	0	0.034487844
rxn08217_c0_o	0.034674022	0.034590207	0.03469093	0.03471307	0.034594454
rxn02835_d0_f	0.034701526	0.035155535	0.03452313	0.03470683	0.035053015
rxn03136_d0_f	0.03484273	0.04564607	0.04377556	0.04521191	0.04515326
rxn11700_d0_r	0.03495729	0.035265565	0.035141706	0.03520918	0.03522277
rxn19345_d0	0.034985974	0.034951124	0.03418764	0.034726363	0.03405147
rxn08217_c0_i	0.035650928	0.03569638	0.035636213	0.03562921	0.03571324
rxn08436_d0_f	0.035947204	0.036064506	0.035747647	0.035718918	0.03607154
rxn39241_d0_i	0.036239386	0.035824418	0.03203392	0.033900857	0.030428529
rxn17803_d0_f	0.036304712	0.03668666	0.033427656	0.03636098	0.03640163
rxn02213_d0_r	0.036581278	0.03622806	0.036933064	0.03636837	0.036253452
rxn25719_d0_f	0.03662312	0.05833578	0.05228889	0.057727456	0.05700302
rxn01362_c0_f	0.037082195	0.03766632	0.03677249	0.03711438	0.037452817
rxn01207_d0_f	0.037124515	0.037591577	0.039954185	0.037284732	0.040191412
rxn17744_d0_f	0.037133098	0.037598252	0.039936543	0.03729236	0.040169954
rxn00394_d0_f	0.03733778	0.03597963	0.037585616	0.03698194	0.03623283
rxn05346_d0_r	0.037535906	0.002731204	0.003911197	0.002645671	0.0372355
rxn02938_d0_f	0.037914395	0.06299162	0.03760636	0.038093925	0.038642526
rxn19030_d0_f	0.037953854	0.038485765	0.037801147	0.038097262	0.038246512
rxn00899_d0_f	0.038531423	0.03914392	0.04180336	0.038724303	0.042147398
rxn08766_d0_f	0.038555503	0.039182067	0.029104352	0.03872955	0.038833976
rxn00499_c0_r	0.03856647	0.03911102	0.038603187	0.038631797	0.038872123
rxn39241_d0_o	0.038629055	0.038272023	0.034101784	0.036357164	0.033084095
rxn_cpd00103_c0_i	0.038755946	0.039659277	0.037896425	0.038555846	0.03848086
rxn01211_d0_f	0.038861632	0.041870475	0.0381732	0.040325284	0.04158032
rxn01740_d0_f	0.038920403	0.037814498	0.039006114	0.038546562	0.037823915
rxn01011_d0_f	0.039180636	0.038772225	0.039360404	0.038941264	0.038775563
rxn39242_d0_o	0.039898872	0.03991592	0.035757422	0.029048324	0.034146428
rxn07441_d0_r	0.040011346	0.039751172	0.039984465	0.04018414	0.04010594
rxn00499_c0_f	0.040061474	0.039657652	0.039782405	0.040121794	0.040053725
rxn05337_d0_f	0.040115952	0.039698362	0.04046297	0.039829493	0.03966844
rxn05331_d0_r	0.040136933	0.039750457	0.040084243	0.040394545	0.03991127
rxn05335_d0_r	0.040598035	0.040537238	0.040362954	0.040762424	0.04066205
rxn17744_d0_r	0.041193366	0.0416075	0.04466915	0.041238427	0.04482627
rxn01207_d0_r	0.042157292	0.042580724	0.045662403	0.042203307	0.045827627
rxn00802_d0_f	0.04215908	0.040851355	0.04190421	0.0470047	0.041690588
rxn01019_d0	0.04222627	0.03838287	0.042114366	0.04071503	0.03973691
rxn11700_d0_f	0.042390466	0.04260862	0.042075753	0.042476773	0.04245913
rxn00097_d0_f	0.04249668	0.0410347	0.04136467	0.041748047	0.04156971
rxn01018_d0	0.042810693	0.036481768	0.044933423	0.04287692	0.03891427
rxn19686_d0_r	0.042814374	0.043070674	0.04282987	0.04283452	0.042868853
rxn00899_d0_r	0.04307258	0.043637633	0.047018528	0.04315102	0.04728818
rxn04954_c0_r	0.04308486	0.03964871	0.031871796	0.042654514	0.042881727
rxn19030_d0_r	0.043097377	0.04346049	0.043412566	0.0431484	0.043281198
rxn14094_d0_f	0.04358685	0.04373753	0.043608546	0.043631196	0.043787837
rxn24360_d0_f	0.04358685	0.04373753	0.043608546	0.043631196	0.043787837
rxn25716_d0_r	0.043786526	0.044245005	0.044271946	0.04544878	0.044204354
rxn37018_d0_r	0.043907046	0.046067357	0.043523252	0.043227136	0.04216659
rxn00800_d0_f	0.045326114	0.069865584	0.0672611	0.07189882	0.06841707
rxn18935_d0_f	0.04591024	0.047049284	0.04570222	0.047177196	0.046218634
rxn05330_d0_r	0.046710372	0.04669273	0.047211528	0.046678066	0.046420097
rxn25743_d0_r	0.047202587	0.04630804	0.047116876	0.011334837	0.04653585
rxn01102_d0_f	0.047379017	0.04627049	0.03830117	0.040542543	0.020154059
rxn00800_d0_r	0.047816157	0.07115102	0.06892395	0.07436967	0.07005751
rxn25637_d0_r	0.047875524	0.047258615	0.04776001	0.047533512	0.047566295
rxn04954_c0_f	0.04888165	0.04493767	0.036925793	0.048639894	0.048514366
rxn08766_d0_r	0.049465656	0.049119115	0.0398314	0.049325705	0.049355626
rxn39242_d0_i	0.049492598	0.049352765	0.044139087	0.039007902	0.043369114
rxn03983_d0_f	0.05075991	0.04545772	0.05108416	0.05158055	0.05154431
rxn02938_d0_r	0.05208659	0.08205652	0.051428318	0.053946733	0.054656386
rxn18937_d0_r	0.05236852	0.05246699	0.05214131	0.05237913	0.05254841
rxn00086_d0_f	0.052830935	0.05417013	0.053205967	0.053658605	0.05332899
rxn00077_d0_r	0.053523898	0.051913857	0.053376317	0.052763343	0.051882148
rxn17803_d0_r	0.05471599	0.054727912	0.051476836	0.054887414	0.05481732
rxn00907_d0_f	0.055331826	0.057027936	0.05511093	0.056084037	0.057047248
