rxn_ID,subsystems,kapp,Pred_cold,Pred_control,FBA_cold,FBA_control,Vbf_cold,Vbf_control,RES_cold,RES_control
rxn02476_d0_r,,0.0174810101345413,1.0299185,0.6667066,0.0,0.0,1.9481218194337224,0.8146790358856141,,
rxn02484_d0_f,,0.0266142602394294,0.0,0.0,0.0,0.0,1.1890435724998454,1.0945689999023736,,
rxn02484_d0_r,,0.0266142602394294,1.2078854,0.982862,0.0,0.0,1.1890435724998454,1.0945689999023736,,
rxn02507_d0,{'Tryptophan_metabolism_in_plants'},0.0001938787412349,0.0,0.0,0.005496994436530712,0.0029020488256651803,0.0215939098141447,0.0139354767289455,252.28265988948107,555.2082765030466
rxn02789_d0_f,,0.0120858538544047,0.0,0.0,0.03939512679513682,0.020798016583933807,1.3459163411214834,1.3459163411214834,,
rxn02789_d0_r,,0.0111441883983661,0.5094330899999999,0.48912240000000007,0.0,0.0,1.2410496978193146,1.2410496978193146,,
rxn02811_d0_f,,0.0111441883983661,0.0,0.0,0.0,0.0,1.2410496978193146,1.2410496978193146,,
rxn02811_d0_r,,0.0120858538544045,0.6821668300000001,0.7796393199999998,0.03939512679513688,0.02079801658393366,1.345916341121459,1.345916341121459,,
rxn02834_d0,{'Histidine_Biosynthesis_in_plants'},0.0007196503993711,0.13079667,0.014449428,0.008703574524506992,0.004594910640636552,0.0712131073349114,0.0226727549088934,355.6409227809529,39.28852072668568
rxn02835_d0_f,,0.0399468587455846,1.38272125,0.51633537,0.008703574524506992,0.004594910640636552,3.9529470726726177,1.2585351700079077,,
rxn02835_d0_r,,0.0392151904759129,0.0,0.0,0.0,0.0,3.880544735277668,1.2354837892716826,,
rxn02895_d0,{'Purine_de_novo_biosynthesis_in_plants'},0.0013482140718007,0.0,0.0,0.024965516399242996,0.01318013841656233,0.1501410965601932,0.0423266332242583,456.7703124751212,54.06742460478692
rxn02914_d0_f,,0.02012672912947,0.0,0.0,0.0,0.0,2.5077958374082594,1.9161876509025024,,
